date,commune_id,day_rel,post,homicides,homicide_type,public_transport_users,night_lights,police_patrols,temperature_c,rain_mm
2020-02-01,1,-49,0,1,sym,1211,18.864214325125715,8,25.159828061831714,1.5809029936328969
2020-02-01,2,-49,0,0,asym,1056,21.744976596231837,6,25.159828061831714,1.5809029936328969
2020-02-01,3,-49,0,6,sym,1144,17.466832884251243,2,25.159828061831714,1.5809029936328969
2020-02-01,4,-49,0,2,sym,1142,20.58856803638295,5,25.159828061831714,1.5809029936328969
2020-02-01,5,-49,0,2,sym,1466,19.55960128443701,2,25.159828061831714,1.5809029936328969
2020-02-01,6,-49,0,2,sym,1009,23.65655195802549,8,25.159828061831714,1.5809029936328969
2020-02-01,7,-49,0,3,asym,1047,18.189798038517573,2,25.159828061831714,1.5809029936328969
2020-02-01,8,-49,0,1,sym,1414,17.353824516820932,6,25.159828061831714,1.5809029936328969
2020-02-01,9,-49,0,5,sym,1336,18.137615997539935,6,25.159828061831714,1.5809029936328969
2020-02-01,10,-49,0,2,sym,1270,19.937387426619924,5,25.159828061831714,1.5809029936328969
2020-02-01,11,-49,0,1,sym,1131,21.231559785584114,7,25.159828061831714,1.5809029936328969
2020-02-01,12,-49,0,1,sym,1488,21.588126730003403,4,25.159828061831714,1.5809029936328969
2020-02-01,13,-49,0,1,sym,1036,19.389929428917583,4,25.159828061831714,1.5809029936328969
2020-02-01,14,-49,0,4,sym,1260,21.970650178174367,7,25.159828061831714,1.5809029936328969
2020-02-01,15,-49,0,7,asym,1246,18.956422372525548,5,25.159828061831714,1.5809029936328969
2020-02-01,16,-49,0,2,asym,1150,20.303246530739678,5,25.159828061831714,1.5809029936328969
2020-02-01,17,-49,0,0,sym,1267,18.09442935521437,3,25.159828061831714,1.5809029936328969
2020-02-01,18,-49,0,1,asym,1066,20.502294652238394,8,25.159828061831714,1.5809029936328969
2020-02-01,19,-49,0,3,sym,1254,20.29755481041185,12,25.159828061831714,1.5809029936328969
2020-02-01,20,-49,0,2,asym,1202,21.455108219563833,7,25.159828061831714,1.5809029936328969
2020-02-01,21,-49,0,2,sym,1186,19.405060696906776,2,25.159828061831714,1.5809029936328969
2020-02-01,22,-49,0,3,sym,1034,15.407778038734047,7,25.159828061831714,1.5809029936328969
2020-02-02,1,-48,0,3,asym,1226,15.448687137702656,7,24.027616693348563,0.24912444593970395
2020-02-02,2,-48,0,3,sym,1265,19.947054589508426,5,24.027616693348563,0.24912444593970395
2020-02-02,3,-48,0,2,sym,1136,20.567726885687453,7,24.027616693348563,0.24912444593970395
2020-02-02,4,-48,0,2,sym,1311,17.66514270324984,2,24.027616693348563,0.24912444593970395
2020-02-02,5,-48,0,4,sym,1223,17.512439795353107,3,24.027616693348563,0.24912444593970395
2020-02-02,6,-48,0,2,asym,1174,17.723027409968935,8,24.027616693348563,0.24912444593970395
2020-02-02,7,-48,0,7,asym,1124,20.871698369665854,7,24.027616693348563,0.24912444593970395
2020-02-02,8,-48,0,3,sym,1274,22.718766016968022,6,24.027616693348563,0.24912444593970395
2020-02-02,9,-48,0,1,sym,1224,22.099063270188115,5,24.027616693348563,0.24912444593970395
2020-02-02,10,-48,0,0,asym,1245,19.27807541936581,5,24.027616693348563,0.24912444593970395
2020-02-02,11,-48,0,1,asym,997,19.43739915248398,11,24.027616693348563,0.24912444593970395
2020-02-02,12,-48,0,2,sym,1393,19.223851243299706,8,24.027616693348563,0.24912444593970395
2020-02-02,13,-48,0,1,sym,1438,20.869003827254026,5,24.027616693348563,0.24912444593970395
2020-02-02,14,-48,0,3,sym,1159,20.5150040868882,6,24.027616693348563,0.24912444593970395
2020-02-02,15,-48,0,4,asym,1105,18.337557298092676,6,24.027616693348563,0.24912444593970395
2020-02-02,16,-48,0,2,sym,1349,20.861481517062657,7,24.027616693348563,0.24912444593970395
2020-02-02,17,-48,0,2,sym,965,20.65519811786351,8,24.027616693348563,0.24912444593970395
2020-02-02,18,-48,0,2,sym,1051,19.219751104612936,8,24.027616693348563,0.24912444593970395
2020-02-02,19,-48,0,1,sym,1252,20.09577534129479,7,24.027616693348563,0.24912444593970395
2020-02-02,20,-48,0,2,sym,1299,20.070510398781483,5,24.027616693348563,0.24912444593970395
2020-02-02,21,-48,0,1,asym,869,21.09565412683881,8,24.027616693348563,0.24912444593970395
2020-02-02,22,-48,0,0,asym,1058,15.54873309893691,9,24.027616693348563,0.24912444593970395
2020-02-03,1,-47,0,5,asym,918,17.392166789653132,4,24.355253208774894,2.2736311627373036
2020-02-03,2,-47,0,2,sym,1171,19.092792239572592,7,24.355253208774894,2.2736311627373036
2020-02-03,3,-47,0,0,asym,1355,21.108017077898896,9,24.355253208774894,2.2736311627373036
2020-02-03,4,-47,0,1,sym,1127,19.433895836167075,8,24.355253208774894,2.2736311627373036
2020-02-03,5,-47,0,3,asym,1315,23.47452466499233,3,24.355253208774894,2.2736311627373036
2020-02-03,6,-47,0,1,sym,1270,19.680813603137302,9,24.355253208774894,2.2736311627373036
2020-02-03,7,-47,0,3,sym,1212,24.089502886343514,8,24.355253208774894,2.2736311627373036
2020-02-03,8,-47,0,2,sym,1625,22.849294445237366,5,24.355253208774894,2.2736311627373036
2020-02-03,9,-47,0,4,sym,1425,22.170739528594066,3,24.355253208774894,2.2736311627373036
2020-02-03,10,-47,0,2,sym,869,19.068063719698586,6,24.355253208774894,2.2736311627373036
2020-02-03,11,-47,0,0,asym,1200,19.626180966313264,3,24.355253208774894,2.2736311627373036
2020-02-03,12,-47,0,4,asym,1283,18.664494363742723,7,24.355253208774894,2.2736311627373036
2020-02-03,13,-47,0,6,sym,1249,23.53444698295842,5,24.355253208774894,2.2736311627373036
2020-02-03,14,-47,0,3,asym,836,22.730118122073208,7,24.355253208774894,2.2736311627373036
2020-02-03,15,-47,0,1,sym,1318,19.810696536453104,9,24.355253208774894,2.2736311627373036
2020-02-03,16,-47,0,7,sym,999,22.17124184018888,6,24.355253208774894,2.2736311627373036
2020-02-03,17,-47,0,1,sym,1193,19.99426484015658,4,24.355253208774894,2.2736311627373036
2020-02-03,18,-47,0,7,sym,876,19.264453582832065,6,24.355253208774894,2.2736311627373036
2020-02-03,19,-47,0,2,sym,1426,22.560788649691816,5,24.355253208774894,2.2736311627373036
2020-02-03,20,-47,0,3,asym,1404,20.897236720076897,7,24.355253208774894,2.2736311627373036
2020-02-03,21,-47,0,2,asym,1068,20.03100263085232,5,24.355253208774894,2.2736311627373036
2020-02-03,22,-47,0,1,asym,1015,21.633826039084333,6,24.355253208774894,2.2736311627373036
2020-02-04,1,-46,0,2,sym,1223,20.341063579197083,4,24.885318134845058,3.750072099068035
2020-02-04,2,-46,0,3,sym,1231,21.15979822348078,8,24.885318134845058,3.750072099068035
2020-02-04,3,-46,0,5,asym,1224,16.57324458830523,2,24.885318134845058,3.750072099068035
2020-02-04,4,-46,0,1,sym,1188,25.02382696602718,4,24.885318134845058,3.750072099068035
2020-02-04,5,-46,0,3,sym,1382,24.624039216840703,8,24.885318134845058,3.750072099068035
2020-02-04,6,-46,0,2,asym,1547,16.103738140917677,7,24.885318134845058,3.750072099068035
2020-02-04,7,-46,0,5,sym,1080,18.13398660232508,3,24.885318134845058,3.750072099068035
2020-02-04,8,-46,0,2,asym,1320,19.47318278630233,9,24.885318134845058,3.750072099068035
2020-02-04,9,-46,0,3,asym,1424,19.864403570201866,8,24.885318134845058,3.750072099068035
2020-02-04,10,-46,0,2,sym,1204,20.964549076483646,7,24.885318134845058,3.750072099068035
2020-02-04,11,-46,0,0,asym,1297,18.982660273824017,9,24.885318134845058,3.750072099068035
2020-02-04,12,-46,0,2,sym,1241,19.147895122145975,7,24.885318134845058,3.750072099068035
2020-02-04,13,-46,0,3,sym,1085,21.457048993897356,9,24.885318134845058,3.750072099068035
2020-02-04,14,-46,0,1,sym,1206,20.632186390466927,6,24.885318134845058,3.750072099068035
2020-02-04,15,-46,0,2,asym,1379,19.487141901154118,5,24.885318134845058,3.750072099068035
2020-02-04,16,-46,0,1,sym,823,22.740390922343877,4,24.885318134845058,3.750072099068035
2020-02-04,17,-46,0,1,asym,1327,21.401021808558202,9,24.885318134845058,3.750072099068035
2020-02-04,18,-46,0,2,sym,1159,18.042250567937444,8,24.885318134845058,3.750072099068035
2020-02-04,19,-46,0,2,sym,1041,20.544562858740232,3,24.885318134845058,3.750072099068035
2020-02-04,20,-46,0,3,sym,1080,18.29288109785773,6,24.885318134845058,3.750072099068035
2020-02-04,21,-46,0,3,asym,1049,19.05824819173925,6,24.885318134845058,3.750072099068035
2020-02-04,22,-46,0,1,asym,1225,20.849657481891263,6,24.885318134845058,3.750072099068035
2020-02-05,1,-45,0,4,sym,1188,14.632017468322239,8,23.47444213594359,0.5261762363643503
2020-02-05,2,-45,0,2,sym,1069,16.15719573059445,5,23.47444213594359,0.5261762363643503
2020-02-05,3,-45,0,1,sym,947,21.212679108375717,9,23.47444213594359,0.5261762363643503
2020-02-05,4,-45,0,1,sym,1037,21.649482240679355,4,23.47444213594359,0.5261762363643503
2020-02-05,5,-45,0,2,asym,1160,23.837306910633597,3,23.47444213594359,0.5261762363643503
2020-02-05,6,-45,0,4,sym,1212,19.408025801926602,7,23.47444213594359,0.5261762363643503
2020-02-05,7,-45,0,5,asym,1298,21.53883364335877,10,23.47444213594359,0.5261762363643503
2020-02-05,8,-45,0,1,asym,1387,18.443263805241664,8,23.47444213594359,0.5261762363643503
2020-02-05,9,-45,0,2,sym,1102,19.683752160782877,5,23.47444213594359,0.5261762363643503
2020-02-05,10,-45,0,5,sym,1194,19.064854847429192,1,23.47444213594359,0.5261762363643503
2020-02-05,11,-45,0,0,sym,1042,21.80405422224713,2,23.47444213594359,0.5261762363643503
2020-02-05,12,-45,0,1,asym,1347,20.659329070680457,7,23.47444213594359,0.5261762363643503
2020-02-05,13,-45,0,6,sym,1269,22.384566244954126,6,23.47444213594359,0.5261762363643503
2020-02-05,14,-45,0,3,sym,1191,18.728847471862224,5,23.47444213594359,0.5261762363643503
2020-02-05,15,-45,0,2,sym,1221,22.09539895856851,5,23.47444213594359,0.5261762363643503
2020-02-05,16,-45,0,1,sym,1278,23.27105520551448,7,23.47444213594359,0.5261762363643503
2020-02-05,17,-45,0,0,asym,1199,16.221850228351993,2,23.47444213594359,0.5261762363643503
2020-02-05,18,-45,0,4,sym,988,21.06420211707766,7,23.47444213594359,0.5261762363643503
2020-02-05,19,-45,0,3,asym,1207,22.244655193279932,5,23.47444213594359,0.5261762363643503
2020-02-05,20,-45,0,1,sym,1114,20.374092380775654,2,23.47444213594359,0.5261762363643503
2020-02-05,21,-45,0,3,sym,1079,19.350489505556094,7,23.47444213594359,0.5261762363643503
2020-02-05,22,-45,0,4,asym,1402,17.3852354024312,10,23.47444213594359,0.5261762363643503
2020-02-06,1,-44,0,4,sym,992,20.51939963543385,6,24.78805998442139,0
2020-02-06,2,-44,0,4,sym,930,18.68385631910932,6,24.78805998442139,0
2020-02-06,3,-44,0,2,asym,1231,18.58290608818297,6,24.78805998442139,0
2020-02-06,4,-44,0,6,sym,1146,18.85578232930352,5,24.78805998442139,0
2020-02-06,5,-44,0,4,sym,1032,23.53263111671229,7,24.78805998442139,0
2020-02-06,6,-44,0,2,sym,1273,19.92097304368027,9,24.78805998442139,0
2020-02-06,7,-44,0,3,asym,1318,20.61467169053545,6,24.78805998442139,0
2020-02-06,8,-44,0,1,asym,1263,20.49656907365305,4,24.78805998442139,0
2020-02-06,9,-44,0,1,asym,1195,21.874414890071314,8,24.78805998442139,0
2020-02-06,10,-44,0,2,asym,1289,21.17122982274716,4,24.78805998442139,0
2020-02-06,11,-44,0,1,sym,1153,21.22228537189716,7,24.78805998442139,0
2020-02-06,12,-44,0,3,sym,1222,21.572484548875927,6,24.78805998442139,0
2020-02-06,13,-44,0,2,asym,1462,21.224755512607313,2,24.78805998442139,0
2020-02-06,14,-44,0,0,sym,1119,19.882649954931534,9,24.78805998442139,0
2020-02-06,15,-44,0,3,sym,1206,20.240191056674675,8,24.78805998442139,0
2020-02-06,16,-44,0,1,sym,1100,17.652042975514295,7,24.78805998442139,0
